#,Fraud Instance,Damaged Item,Item Not Avaiable,Item Not In Stock,Product Care Plan,Claim Amount,Registered Online,Age Group,Marital Status,Owns a Vehicle,Accomodation Type,Height (cms)
1,0,1,0,1,0,$89 ,1,29,In-Relationship,1,Owns a house,155
2,0,0,0,1,1,$290 ,0,33,Married,1,Staying with Family,178
3,0,1,0,0,1,$67 ,0,39,Married,1,Staying with Family,156
4,1,0,0,1,0,$350 ,0,49,In-Relationship,1,Rented,187
5,0,1,0,0,1,$297 ,0,37,In-Relationship,1,Staying with Family,184
6,0,1,0,1,0,$52 ,1,25,In-Relationship,1,Owns a house,157
7,1,0,0,0,1,$294 ,1,55,In-Relationship,1,Owns a house,173
8,0,0,1,1,0,$329 ,1,34,Married,1,Rented,169
9,1,1,0,0,0,$122 ,1,49,Married,1,Rented,185
10,1,0,0,0,1,$246 ,0,42,In-Relationship,0,Owns a house,159
11,0,0,1,1,0,$164 ,0,40,"Unmarried,",0,Rented,158
12,0,1,0,1,0,$349 ,0,43,"Unmarried,",0,Staying with Family,187
13,0,1,0,0,1,$289 ,1,41,Married,0,Owns a house,172
14,1,1,0,0,0,$141 ,0,20,"Unmarried,",1,Staying with Family,153
15,0,0,0,1,1,$96 ,0,37,"Unmarried,",1,Rented,153
16,0,0,1,1,0,$95 ,0,21,"Unmarried,",0,Staying with Family,190
17,0,1,0,0,1,$119 ,0,46,"Unmarried,",0,Rented,170
18,0,1,0,1,0,$159 ,1,38,"Unmarried,",0,Owns a house,151
19,0,1,0,0,1,$334 ,0,42,Married,1,Rented,179
20,0,1,0,1,0,$246 ,1,34,Married,1,Staying with Family,175
21,0,1,0,1,0,$75 ,0,49,In-Relationship,0,Staying with Family,161
22,0,1,0,1,0,$46 ,0,38,"Unmarried,",1,Owns a house,179
23,0,0,1,1,0,$199 ,0,53,Married,1,Owns a house,170
24,1,0,1,0,0,$291 ,0,41,Married,0,Staying with Family,182
25,1,1,0,0,0,$267 ,0,39,Married,0,Rented,178
26,1,1,0,0,0,$169 ,1,28,In-Relationship,0,Rented,160
27,1,0,0,0,1,$313 ,0,53,Married,1,Staying with Family,169
28,0,1,0,1,0,$107 ,1,21,In-Relationship,1,Owns a house,183
29,0,1,0,1,0,$177 ,1,47,Married,0,Rented,157
30,0,0,0,1,1,$64 ,0,41,In-Relationship,0,Owns a house,155
31,0,1,0,1,0,$262 ,0,25,"Unmarried,",1,Owns a house,188
32,1,1,0,0,0,$229 ,1,30,Married,1,Owns a house,166
33,0,1,0,0,1,$261 ,0,40,Married,1,Owns a house,171
34,0,1,0,0,1,$283 ,0,23,In-Relationship,0,Staying with Family,150
35,0,1,0,1,0,$285 ,0,39,Married,0,Staying with Family,158
36,0,1,0,0,1,$179 ,0,29,In-Relationship,0,Rented,180
37,1,1,0,0,0,$139 ,0,45,In-Relationship,0,Staying with Family,173
38,1,1,0,0,0,$62 ,1,37,"Unmarried,",1,Owns a house,175
39,0,0,0,1,1,$346 ,0,25,In-Relationship,1,Staying with Family,150
40,0,0,0,1,1,$87 ,1,18,In-Relationship,0,Rented,157
41,0,1,0,1,0,$50 ,0,36,"Unmarried,",1,Staying with Family,150
42,0,1,0,0,1,$86 ,1,40,In-Relationship,1,Staying with Family,172
43,1,0,0,1,0,$108 ,1,37,Married,1,Staying with Family,185
44,1,0,0,0,1,$154 ,0,45,In-Relationship,0,Owns a house,177
45,0,1,0,1,0,$355 ,1,21,In-Relationship,0,Staying with Family,159
46,0,1,0,1,0,$280 ,1,35,In-Relationship,0,Staying with Family,164
47,0,0,0,1,1,$274 ,1,24,In-Relationship,0,Staying with Family,156
48,0,1,0,1,0,$332 ,1,46,Married,1,Staying with Family,170
49,0,1,1,0,0,$331 ,0,36,Married,0,Owns a house,151
50,1,1,0,0,0,$310 ,0,41,"Unmarried,",0,Staying with Family,173
51,0,1,0,0,1,$249 ,1,27,"Unmarried,",0,Rented,173
52,0,1,0,0,1,$238 ,1,28,"Unmarried,",0,Owns a house,173
53,1,1,0,0,0,$303 ,0,28,Married,1,Owns a house,154
54,0,0,0,1,1,$145 ,1,55,In-Relationship,0,Staying with Family,178
55,1,0,0,0,1,$347 ,0,41,"Unmarried,",1,Owns a house,162
56,0,1,0,0,1,$344 ,0,48,Married,1,Rented,152
57,0,1,0,1,0,$247 ,0,18,Married,1,Staying with Family,180
58,0,1,0,1,0,$93 ,1,23,"Unmarried,",1,Rented,154
59,1,1,0,0,0,$117 ,0,22,In-Relationship,1,Rented,175
60,0,1,0,1,0,$216 ,1,34,"Unmarried,",1,Staying with Family,180
61,0,1,0,1,0,$218 ,0,20,In-Relationship,0,Owns a house,182
62,1,1,0,0,0,$230 ,0,37,"Unmarried,",0,Owns a house,165
63,0,1,0,1,0,$229 ,0,32,"Unmarried,",1,Owns a house,153
64,0,1,0,0,1,$148 ,1,21,In-Relationship,0,Owns a house,174
65,0,1,0,1,0,$231 ,0,42,In-Relationship,0,Staying with Family,159
66,1,0,0,1,0,$264 ,0,28,Married,0,Staying with Family,186
67,1,1,0,0,0,$236 ,1,47,In-Relationship,1,Staying with Family,187
68,1,1,0,0,0,$346 ,0,29,"Unmarried,",1,Owns a house,178
69,0,1,0,0,1,$191 ,1,29,In-Relationship,0,Staying with Family,171
70,1,0,0,1,0,$103 ,1,55,"Unmarried,",1,Staying with Family,171
71,0,0,0,1,1,$330 ,1,30,"Unmarried,",0,Rented,178
72,1,1,0,0,0,$202 ,1,21,In-Relationship,0,Rented,176
73,0,1,0,0,1,$77 ,0,53,Married,1,Staying with Family,175
74,0,1,0,1,0,$153 ,0,29,In-Relationship,0,Owns a house,171
75,1,1,0,0,0,$167 ,0,41,"Unmarried,",0,Staying with Family,160
